"Date","Price","Open","High","Low","Change %"
"12/21/2022","103.94","103.94","103.94","103.94","0.95%"
"12/20/2022","102.96","102.96","103.95","102.96","5.04%"
"12/19/2022","98.02","98.02","102.96","98.02","0.00%"
"12/16/2022","98.02","98.02","98.02","98.02","4.20%"
"12/15/2022","94.07","94.07","94.07","94.07","1.05%"
"12/14/2022","93.09","93.09","93.09","93.09","-5.03%"
"12/13/2022","98.02","98.02","98.02","98.02","-3.87%"
"12/12/2022","101.97","101.97","101.97","101.97","0.00%"
"12/09/2022","101.97","101.97","101.97","101.97","0.00%"
"12/08/2022","101.97","101.97","101.97","101.97","-0.96%"
"12/07/2022","102.96","102.96","102.96","102.96","6.11%"
"12/06/2022","97.03","97.03","97.03","97.03","7.69%"
"12/05/2022","90.10","90.10","90.10","90.10","-0.01%"
"12/02/2022","90.11","90.11","90.12","90.11","-1.85%"
"12/01/2022","91.81","91.81","91.81","86.19","-0.33%"
"11/30/2022","92.11","92.11","92.11","92.11","-4.10%"
"11/29/2022","96.05","96.05","96.05","96.05","-0.52%"
"11/28/2022","96.55","96.55","96.55","96.54","1.56%"
"11/25/2022","95.07","95.07","95.07","95.06","-4.93%"
"11/24/2022","100.00","100.00","100.00","100.00","-11.49%"
"11/23/2022","112.98","112.98","112.98","107.88","0.18%"
"11/22/2022","112.78","112.78","112.78","112.78","-0.44%"
"11/21/2022","113.28","113.28","113.29","113.28","0.87%"
"11/18/2022","112.30","112.30","112.31","112.30","-0.87%"
"11/17/2022","113.29","113.29","113.29","113.29","10.84%"
"11/16/2022","102.21","102.21","102.21","101.96","0.25%"
"11/15/2022","101.96","101.96","101.96","101.96","-1.90%"
"11/14/2022","103.94","103.94","103.94","103.94","-2.76%"
"11/11/2022","106.89","106.89","106.89","106.89","-13.53%"
"11/10/2022","123.61","123.61","123.62","123.61","-3.27%"
"11/09/2022","127.79","127.79","127.79","116.71","0.22%"
"11/08/2022","127.51","127.51","127.51","119.66","0.00%"
"11/07/2022","127.51","127.51","127.51","127.49","-9.73%"
"11/04/2022","141.25","141.25","141.31","141.25","-0.02%"
"11/03/2022","141.28","141.28","141.38","141.28","3.20%"
"11/02/2022","136.90","136.90","136.90","133.38","0.44%"
"11/01/2022","136.30","136.30","136.30","136.26","-0.06%"
"10/31/2022","136.38","136.38","136.40","136.38","-2.07%"
"10/28/2022","139.26","139.26","139.32","139.26","-1.38%"
"10/27/2022","141.21","141.21","141.23","141.21","-11.04%"
